Team,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022
AC Milan,2,3,4,5,3,3,1,2,3,8,10,7,6,6,5,6,2,1
AC Siena,14,15,15,13,14,19,-,14,19,-,-,-,-,-,-,-,-,-
AS Livorno,9,6,11,20,-,20,-,-,-,20,-,-,-,-,-,-,-,-
AS Roma,8,2,2,2,6,2,6,7,6,2,2,3,2,3,6,5,7,6
Ascoli,-,10,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atalanta BC,20,-,8,9,11,18,-,12,15,11,17,13,4,7,3,3,3,8
Bari,-,-,-,-,-,10,20,-,-,-,-,-,-,-,-,-,-,-
Benevento,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,18,-
Bologna,17,-,-,-,17,17,16,9,13,19,-,14,15,15,10,12,12,13
Brescia,19,-,-,-,-,-,19,-,-,-,-,-,-,-,-,19,-,-
Cagliari Calcio,12,14,17,14,9,16,14,15,11,15,18,-,11,16,15,14,16,18
Carpi,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-
Catania,-,-,13,17,15,13,13,11,8,18,-,-,-,-,-,-,-,-
Cesena,-,-,-,-,-,-,15,20,-,-,19,-,-,-,-,-,-,-
Chievo Verona,15,4,18,-,16,14,11,10,12,16,14,9,14,13,20,-,-,-
Crotone,-,-,-,-,-,-,-,-,-,-,-,-,17,18,-,-,19,-
Empoli,-,8,7,18,-,-,-,-,-,-,15,11,18,-,18,-,-,-
FC Empoli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
Fiorentina,16,9,6,4,4,11,9,13,4,4,4,5,8,8,16,10,13,7
Frosinone,-,-,-,-,-,-,-,-,-,-,-,19,-,-,19,-,-,-
Genoa,-,-,-,10,5,9,10,17,17,14,6,10,16,12,17,17,11,19
Hellas Verona,-,-,-,-,-,-,-,-,-,10,13,20,-,19,-,9,10,9
Inter,3,1,1,1,1,1,2,6,9,5,8,4,7,4,4,2,1,2
Juventus,1,20,-,3,2,7,7,1,1,1,1,1,1,1,1,1,4,4
Lazio,13,16,3,12,10,12,5,4,7,9,3,8,5,5,8,4,6,5
Lecce,11,18,-,-,20,-,17,18,-,-,-,-,-,-,-,18,-,-
Messina Peloro,7,17,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Novara,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
Parma,18,7,12,19,-,8,12,8,10,6,20,-,-,-,14,11,20,-
Pescara,-,-,-,-,-,-,-,-,20,-,-,-,20,-,-,-,-,-
Reggina,10,13,14,16,19,-,-,-,-,-,-,-,-,-,-,-,-,-
SPAL,-,-,-,-,-,-,-,-,-,-,-,-,-,17,13,20,-,-
SSC Napoli,-,-,-,8,12,6,3,5,2,3,5,2,3,2,2,7,5,3
Salernitana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
Sampdoria,5,12,9,6,13,4,18,-,14,12,7,15,10,10,9,15,9,15
Sassuolo,-,-,-,-,-,-,-,-,-,17,12,6,12,11,11,8,8,11
Spezia Calcio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,16
Torino,-,-,16,15,18,-,-,-,16,7,9,12,9,9,7,16,17,10
Treviso,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
US Palermo,6,5,5,11,8,5,8,16,18,-,11,16,19,-,-,-,-,-
Udinese,4,11,10,7,7,15,-,-,-,-,-,-,-,-,-,-,-,-
Udinese Calcio,-,-,-,-,-,-,4,3,5,13,16,17,13,14,12,13,14,12
Venezia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
